playlist_id,name,description,owner_name,owner_id,owner_image,playlistUrl,uri,followers,totalTracks
5BZuLyrj5S2XwDJ1PrFHfu, funeral songs SHORT LIST,Easier to find songs,shawn heathcote,312jbeappptgua7y45bdy6li2ihq,https://i.scdn.co/image/ab6775700000ee85354cae170e9223924e2f5f60,https://open.spotify.com/playlist/5BZuLyrj5S2XwDJ1PrFHfu,spotify:playlist:5BZuLyrj5S2XwDJ1PrFHfu,,308
2GApfnU5znCqb6nHFi5K1A,Funeral songs ,,Enigma_SCD,315g4tbpd5qzox7shjr6bhgay64a,https://i.scdn.co/image/ab6775700000ee85d68f73433e38b2817ccea2c9,https://open.spotify.com/playlist/2GApfnU5znCqb6nHFi5K1A,spotify:playlist:2GApfnU5znCqb6nHFi5K1A,,74
6dz87ZK42BE7ZoWdaFvrSh,Playlist for my funeral,over a day of friggin awesome music,Human Being 051512,31ackk3rfcycmq4vt5js5m2eivq4,https://i.scdn.co/image/ab6775700000ee85e7e52edb986e7b261a01849c,https://open.spotify.com/playlist/6dz87ZK42BE7ZoWdaFvrSh,spotify:playlist:6dz87ZK42BE7ZoWdaFvrSh,,566
4awXDHldgEVl0kPni1rHGq,songs to play at my funeral ,,bxlish,31s6bdvtegfgchrtdfug5mgswmde,https://i.scdn.co/image/ab6775700000ee856fe03d52484504c26cb9236f,https://open.spotify.com/playlist/4awXDHldgEVl0kPni1rHGq,spotify:playlist:4awXDHldgEVl0kPni1rHGq,,57
0uEXhUPAWyETYo8tfKvddX,FUNERAL ZONE ☠️⚰️,,Nicolas Leira,31gfswwkbrr7ts3zkihprpq346eu,https://i.scdn.co/image/ab6775700000ee85b693644d9137d8dc3d8815fd,https://open.spotify.com/playlist/0uEXhUPAWyETYo8tfKvddX,spotify:playlist:0uEXhUPAWyETYo8tfKvddX,,2455
52TSuXYt3lDMk91uT2S9Ud,Play at my funeral,,Mariana Garcia,31wtv3d44gxhkmlvjobbaem7ic2y,https://i.scdn.co/image/ab6775700000ee852474ba04a105fe61a3639ec6,https://open.spotify.com/playlist/52TSuXYt3lDMk91uT2S9Ud,spotify:playlist:52TSuXYt3lDMk91uT2S9Ud,,379
59kJ5nYzampX5sDNw651zE,musics for my funeral,,pornocrata,31ti3hbfufmykkiw4brbhvh565dq,https://i.scdn.co/image/ab6775700000ee85c407d263b99ba499a9a89011,https://open.spotify.com/playlist/59kJ5nYzampX5sDNw651zE,spotify:playlist:59kJ5nYzampX5sDNw651zE,,202
7BYIeghdfbzaZRsAhNi3zL,Funeral sounds in case ,,CLAYS,314ncqgv4zbt4qhdlnikvvq7yvu4,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=614628010397413&height=300&width=300&ext=1776540636&hash=AT-yqFGZNax0dXSIhvnR9UPJ,https://open.spotify.com/playlist/7BYIeghdfbzaZRsAhNi3zL,spotify:playlist:7BYIeghdfbzaZRsAhNi3zL,,11
5rbWDnCjh37FLM6R6MTGmG,Putting the Fun in Funeral,,Julia Kearney,31kbq3vgnco7wf35l3vlre3gomoa,,https://open.spotify.com/playlist/5rbWDnCjh37FLM6R6MTGmG,spotify:playlist:5rbWDnCjh37FLM6R6MTGmG,,102
1nWmox5z6EmczZ3CTpmHT8,For After the Funeral,,Goop,theoriginalmg,https://i.scdn.co/image/ab6775700000ee85c826f38a548f36c6fc0fc41d,https://open.spotify.com/playlist/1nWmox5z6EmczZ3CTpmHT8,spotify:playlist:1nWmox5z6EmczZ3CTpmHT8,,439
